"동별(1)",동별(2),동별(3),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"동별(1)",동별(2),동별(3),소계,지체,뇌병변,시각,청각,언어,지적장애,자폐성,정신장애,신장장애,심장장애,호흡기,간,안면,장루요루,뇌전증
"동별(1)",동별(2),동별(3),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"합계",소계,소계,389795,160403,38940,40706,63858,3308,28025,8305,16551,19121,942,2112,2790,393,3122,1219
"합계",종로구,소계,5692,2344,526,669,954,48,387,119,243,266,14,25,44,7,33,13
"합계",종로구,사직동,270,105,31,33,38,1,23,11,8,15,1,1,1,-,2,-
"합계",종로구,삼청동,108,42,10,14,21,-,4,1,11,4,-,-,1,-,-,-
"합계",종로구,부암동,314,120,28,42,54,2,19,10,12,16,1,-,5,1,3,1
"합계",종로구,평창동,489,192,59,58,75,6,31,11,13,30,1,3,2,1,6,1
"합계",종로구,무악동,322,110,32,47,58,3,26,10,13,11,2,4,3,-,3,-
"합계",종로구,교남동,330,139,28,34,52,6,26,10,10,15,-,1,8,-,-,1
"합계",종로구,가회동,169,66,24,14,27,2,15,6,6,8,1,-,-,-,-,-
"합계",종로구,종로1.2.3.4가동,384,146,43,37,55,3,28,5,35,23,-,3,3,-,3,-
"합계",종로구,종로5.6가동,242,117,16,22,27,-,19,5,12,14,2,2,-,1,2,3
"합계",종로구,이화동,299,149,31,25,41,1,23,2,11,12,-,-,3,1,-,-
"합계",종로구,창신1동,266,120,22,23,53,1,15,1,14,12,-,1,1,-,2,1
"합계",종로구,창신2동,493,207,38,70,92,5,32,3,27,10,1,1,2,1,1,3
"합계",종로구,창신3동,340,159,29,32,54,6,16,9,13,12,2,-,2,-,5,1
"합계",종로구,숭인1동,295,123,25,28,66,1,20,2,9,15,-,-,3,-,3,-
"합계",종로구,숭인2동,398,180,29,49,71,2,21,6,11,21,-,3,3,1,1,-
"합계",종로구,청운효자동,421,146,28,88,73,4,33,9,8,22,1,3,3,1,2,-
"합계",종로구,혜화동,552,223,53,53,97,5,36,18,30,26,2,3,4,-,-,2
"합계",종로구,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",중구,소계,5461,2332,534,657,910,29,305,85,210,239,16,36,36,8,46,18
"합계",중구,소공동,35,11,5,3,9,-,1,2,-,2,-,1,1,-,-,-
"합계",중구,회현동,263,98,27,56,34,1,16,1,15,8,-,1,1,-,4,1
"합계",중구,명동,99,40,5,24,14,-,5,1,2,6,-,-,-,-,2,-
"합계",중구,필동,178,69,13,30,26,1,15,2,6,5,2,1,1,2,4,1
"합계",중구,장충동,187,78,22,18,35,2,11,1,5,11,-,3,-,-,1,-
"합계",중구,광희동,217,100,20,24,39,1,11,1,9,7,-,2,2,-,1,-
"합계",중구,을지로동,95,48,9,7,19,-,1,1,3,4,-,1,1,1,-,-
"합계",중구,신당5동,487,231,52,39,81,2,30,6,16,19,3,4,-,-,1,3
"합계",중구,황학동,489,213,59,54,75,2,23,10,16,23,1,4,4,-,5,-
"합계",중구,중림동,541,218,48,73,90,5,23,11,31,22,1,1,4,-,7,7
"합계",중구,신당동,383,169,47,40,42,2,26,9,15,20,1,4,2,-,5,1
"합계",중구,다산동,617,257,47,75,125,3,29,11,24,25,4,7,4,-,6,-
"합계",중구,약수동,826,344,83,108,147,3,45,9,32,33,2,4,9,3,3,1
"합계",중구,청구동,620,258,58,69,105,5,52,7,24,30,-,2,3,2,3,2
"합계",중구,동화동,424,198,39,37,69,2,17,13,12,24,2,1,4,-,4,2
"합계",중구,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",용산구,소계,7302,2978,695,878,1180,51,533,150,257,361,16,52,68,4,61,18
"합계",용산구,후암동,696,262,71,77,108,5,74,15,35,34,1,5,4,-,4,1
"합계",용산구,용산2가동,444,174,44,46,87,4,33,4,15,21,3,2,3,-,5,3
"합계",용산구,남영동,485,185,43,73,63,7,44,4,33,21,-,10,-,-,2,-
"합계",용산구,원효로2동,458,183,51,59,76,4,32,3,12,19,-,4,7,-,7,1
"합계",용산구,효창동,337,132,36,35,71,-,20,11,6,14,1,2,2,1,4,2
"합계",용산구,용문동,443,178,42,45,95,4,30,8,11,17,1,3,5,-,2,2
"합계",용산구,이촌1동,490,169,54,55,85,4,36,24,11,32,2,1,8,1,8,-
"합계",용산구,이촌2동,326,146,32,38,44,3,20,6,13,13,-,2,6,-,3,-
"합계",용산구,이태원1동,207,86,22,19,35,1,19,4,8,8,-,2,-,-,2,1
"합계",용산구,이태원2동,305,138,20,37,45,2,18,6,11,17,2,3,4,-,1,1
"합계",용산구,서빙고동,347,145,28,37,56,3,30,13,5,18,3,1,1,-,5,2
"합계",용산구,보광동,517,220,51,68,77,3,23,5,21,26,1,4,9,1,8,-
"합계",용산구,청파동,786,323,63,101,132,6,62,9,36,41,-,4,3,-,3,3
"합계",용산구,원효로1동,431,168,35,58,62,3,34,13,17,24,1,4,8,-,4,-
"합계",용산구,한강로동,498,215,54,74,73,1,26,16,12,21,-,1,2,-,1,2
"합계",용산구,한남동,532,254,49,56,71,1,32,9,11,35,1,4,6,1,2,-
"합계",용산구,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",성동구,소계,10915,4713,1058,1098,1753,85,703,246,403,507,30,79,90,11,100,39
"합계",성동구,왕십리2동,626,257,56,54,117,9,46,17,15,29,1,10,4,2,6,3
"합계",성동구,마장동,1009,478,87,81,154,7,70,34,35,36,4,1,7,2,6,7
"합계",성동구,사근동,352,180,34,31,53,6,19,3,11,8,-,1,4,-,2,-
"합계",성동구,행당1동,505,210,50,50,89,5,25,15,13,26,2,6,8,1,5,-
"합계",성동구,행당2동,883,348,92,90,150,6,60,24,29,45,6,9,5,1,11,7
"합계",성동구,응봉동,543,220,55,61,99,4,32,13,19,23,2,3,2,-,9,1
